state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
MD,2020-09-12,"7,957","7,957","7,957",77.96,77.96,77.96,"10,206","10,206","10,206"
MI,2020-09-12,"16,580","16,485","16,676",72.84,71.53,74.15,"22,763","22,647","22,879"
AL,2020-09-13,"9,291","9,269","9,314",66.26,65.70,66.82,"14,022","13,988","14,056"
AR,2020-09-13,"4,925","4,745","5,105",64.12,57.92,70.31,"7,646","7,554","7,737"
CT,2020-09-13,"5,747","5,622","5,872",71.13,66.52,75.74,"8,080","7,946","8,213"
ID,2020-09-13,"1,598","1,589","1,608",44.78,43.81,45.74,"3,570","3,556","3,584"
IN,2020-09-13,"9,470","9,440","9,500",58.85,58.24,59.46,"16,091","16,052","16,130"
KS,2020-09-13,"3,933","3,606","4,259",53.43,37.87,68.99,"7,097","6,645","7,549"
LA,2020-09-13,"8,509","8,420","8,598",61.81,59.67,63.94,"13,331","13,217","13,445"
MD,2020-09-13,"7,811","7,811","7,811",77.07,77.07,77.07,"10,135","10,135","10,135"
MI,2020-09-13,"16,010","15,908","16,113",70.60,66.39,74.80,"22,679","22,131","23,227"
AL,2020-09-14,"9,589","9,573","9,605",68.35,67.92,68.78,"14,029","14,001","14,057"
AR,2020-09-14,"4,972","4,963","4,982",64.05,63.12,64.99,"7,728","7,686","7,771"
CT,2020-09-14,"5,724","5,659","5,790",70.96,68.52,73.39,"8,067","7,996","8,139"
ID,2020-09-14,"1,585","1,581","1,589",44.64,44.64,44.64,"3,551","3,551","3,551"
IN,2020-09-14,"9,534","9,501","9,567",59.17,58.42,59.93,"16,111","16,055","16,167"
KS,2020-09-14,"3,968","3,959","3,976",53.85,51.06,56.64,"7,106","6,955","7,258"
LA,2020-09-14,"8,413","8,293","8,534",62.13,59.19,65.06,"13,107","12,956","13,257"
MD,2020-09-14,"7,543","7,451","7,635",75.36,72.52,78.20,"10,009","9,900","10,118"
MI,2020-09-14,"16,306","16,199","16,414",71.44,69.86,73.02,"22,825","22,673","22,977"
AL,2020-09-15,"9,967","9,950","9,984",70.95,70.58,71.32,"14,048","14,027","14,069"
AR,2020-09-15,"5,300","5,238","5,361",67.59,64.94,70.25,"7,811","7,724","7,898"
CT,2020-09-15,"5,972","5,972","5,972",73.98,73.98,73.98,"8,072","8,072","8,072"
ID,2020-09-15,"1,698","1,693","1,704",47.70,46.99,48.40,"3,561","3,547","3,575"
IN,2020-09-15,"10,190","10,190","10,190",62.98,62.98,62.98,"16,181","16,181","16,181"
KS,2020-09-15,"4,216","4,036","4,397",57.46,48.51,66.41,"7,095","6,808","7,382"
LA,2020-09-15,"8,913","8,862","8,964",65.15,63.91,66.39,"13,261","13,188","13,335"
MD,2020-09-15,"8,008","7,830","8,186",79.25,73.67,84.83,"10,105","9,882","10,328"
MI,2020-09-15,"17,120","17,086","17,154",74.59,74.11,75.06,"22,953","22,909","22,997"
AL,2020-09-16,"10,176","9,927","10,425",72.22,66.66,77.77,"14,091","13,786","14,396"
AR,2020-09-16,"5,427","5,415","5,439",68.60,67.57,69.64,"7,880","7,834","7,926"
CT,2020-09-16,"6,074","6,064","6,084",75.02,74.67,75.38,"8,096","8,086","8,106"
ID,2020-09-16,"1,790","1,786","1,793",49.87,49.87,49.87,"3,588","3,588","3,588"
IN,2020-09-16,"10,414","10,414","10,414",64.37,64.37,64.37,"16,178","16,178","16,178"
KS,2020-09-16,"4,379","4,010","4,748",60.00,42.52,77.47,"7,073","6,560","7,587"
LA,2020-09-16,"9,070","9,050","9,089",66.62,66.38,66.87,"13,236","13,209","13,263"
MD,2020-09-16,"8,095","7,977","8,213",79.95,76.38,83.52,"10,125","9,986","10,264"
MI,2020-09-16,"17,334","17,300","17,368",75.50,75.03,75.97,"22,959","22,916","23,002"
AL,2020-09-17,"10,190","9,957","10,423",72.52,67.27,77.77,"14,052","13,762","14,342"
AR,2020-09-17,"5,396","5,381","5,412",68.67,67.66,69.67,"7,828","7,778","7,879"
CT,2020-09-17,"6,075","6,063","6,087",75.00,74.58,75.42,"8,100","8,088","8,112"
ID,2020-09-17,"1,791","1,785","1,797",49.69,48.99,50.40,"3,604","3,590","3,618"
IN,2020-09-17,"10,368","10,265","10,472",64.19,62.07,66.30,"16,154","16,015","16,293"
KS,2020-09-17,"4,359","4,311","4,406",59.99,56.84,63.13,"7,054","6,915","7,193"
LA,2020-09-17,"9,192","9,170","9,213",67.14,66.80,67.49,"13,265","13,234","13,296"
MD,2020-09-17,"8,036","7,915","8,157",79.12,75.46,82.77,"10,157","10,015","10,299"
MI,2020-09-17,"17,297","17,284","17,310",75.47,75.23,75.71,"22,919","22,892","22,946"
AL,2020-09-18,"10,020","9,843","10,196",70.71,66.40,75.03,"14,169","13,905","14,433"
AR,2020-09-18,"5,255","5,237","5,273",66.75,66.14,67.35,"7,825","7,773","7,877"
CT,2020-09-18,"5,949","5,936","5,962",73.49,73.03,73.95,"8,095","8,082","8,108"
ID,2020-09-18,"1,739","1,739","1,739",48.39,48.39,48.39,"3,594","3,594","3,594"
IN,2020-09-18,"10,470","10,410","10,529",64.75,63.48,66.03,"16,168","16,078","16,258"
KS,2020-09-18,"4,298","4,209","4,387",59.03,54.56,63.50,"7,029","6,873","7,185"
LA,2020-09-18,"9,249","9,225","9,273",68.00,67.60,68.39,"13,183","13,152","13,214"
MD,2020-09-18,"7,960","7,832","8,088",78.64,74.74,82.54,"10,122","9,971","10,273"
MI,2020-09-18,"17,184","17,097","17,270",74.82,73.65,76.00,"22,965","22,860","23,070"
AL,2020-09-19,"9,686","9,656","9,717",68.47,67.56,69.38,"14,147","14,083","14,211"
AR,2020-09-19,"5,014","4,832","5,195",64.39,58.41,70.37,"7,736","7,653","7,819"
CT,2020-09-19,"5,954","5,013","6,895",73.55,35.74,111.36,"8,095","6,851","9,339"
ID,2020-09-19,"1,688","1,493","1,882",46.97,28.57,65.36,"3,593","3,345","3,841"
IN,2020-09-19,"9,331","9,231","9,431",58.76,56.68,60.84,"15,880","15,747","16,013"
KS,2020-09-19,"4,147","4,013","4,281",56.94,49.35,64.52,"7,027","6,754","7,300"
LA,2020-09-19,"8,800","8,782","8,819",64.67,64.67,64.67,"13,198","13,171","13,225"
MD,2020-09-19,"7,819","7,423","8,215",77.66,64.88,90.44,"10,068","9,546","10,590"
MI,2020-09-19,"16,575","16,390","16,760",73.03,70.39,75.66,"22,697","22,455","22,939"
AL,2020-09-20,"9,553","9,528","9,578",67.67,67.00,68.33,"14,118","14,075","14,161"
AR,2020-09-20,"4,856","4,782","4,930",62.50,59.33,65.68,"7,718","7,602","7,834"
CT,2020-09-20,"5,952","4,844","7,060",73.53,29.02,118.03,"8,095","6,631","9,559"
ID,2020-09-20,"1,615","1,386","1,844",44.92,23.05,66.79,"3,595","3,303","3,887"
IN,2020-09-20,"9,185","9,068","9,302",56.83,54.42,59.24,"16,162","16,006","16,318"
KS,2020-09-20,"4,033","3,685","4,381",55.28,38.11,72.45,"7,023","6,507","7,539"
LA,2020-09-20,"8,451","8,432","8,470",62.45,62.45,62.45,"13,121","13,093","13,149"
MD,2020-09-20,"7,655","7,195","8,115",76.06,61.20,90.92,"10,065","9,457","10,673"
MI,2020-09-20,"16,094","15,877","16,311",70.94,67.93,73.94,"22,688","22,424","22,952"
CA,2020-08-20,"44,816","44,278","45,354",72.61,69.87,75.35,"61,721","61,052","62,390"
GA,2020-08-20,"11,326","10,583","12,069",83.38,82.53,84.23,"13,502","12,517","14,487"
CA,2020-08-21,"44,614","44,398","44,829",72.26,71.24,73.28,"61,742","61,505","61,978"
GA,2020-08-21,"11,200","10,458","11,943",82.51,80.81,84.20,"13,454","12,466","14,442"
CA,2020-08-22,"43,312","43,139","43,486",70.81,69.95,71.67,"61,169","60,957","61,381"
GA,2020-08-22,"10,675","9,925","11,425",78.61,76.15,81.08,"13,445","12,453","14,437"
CA,2020-08-23,"41,910","41,645","42,176",68.78,67.25,70.31,"60,932","60,523","61,341"
GA,2020-08-23,"10,426","9,668","11,183",76.74,73.19,80.30,"13,442","12,441","14,442"
CA,2020-08-24,"41,794","41,330","42,259",68.56,65.69,71.43,"60,962","60,150","61,774"
GA,2020-08-24,"10,528","9,784","11,273",77.08,73.43,80.73,"13,512","12,526","14,497"
CA,2020-08-25,"43,588","43,258","43,917",70.76,69.10,72.41,"61,604","61,214","61,994"
GA,2020-08-25,"10,796","10,077","11,515",78.99,75.18,82.80,"13,497","12,544","14,450"
CA,2020-08-26,"44,238","44,047","44,430",71.61,70.55,72.67,"61,776","61,496","62,055"
GA,2020-08-26,"12,011","11,320","12,703",79.41,70.14,88.69,"14,950","14,032","15,867"
CA,2020-08-27,"44,106","43,508","44,704",71.57,68.19,74.96,"61,622","60,715","62,530"
GA,2020-08-27,"13,969","13,288","14,651",80.68,68.02,93.34,"17,177","16,276","18,078"
CA,2020-08-28,"43,844","43,676","44,013",71.22,70.30,72.15,"61,558","61,319","61,797"
GA,2020-08-28,"13,851","13,184","14,518",80.46,67.98,92.93,"17,076","16,192","17,961"
CA,2020-08-29,"42,808","42,410","43,205",69.74,67.70,71.78,"61,381","60,894","61,868"
GA,2020-08-29,"13,578","12,938","14,219",78.39,66.58,90.21,"17,180","16,334","18,026"
CA,2020-08-30,"41,290","41,008","41,572",67.93,66.39,69.48,"60,780","60,391","61,170"
GA,2020-08-30,"13,125","12,503","13,748",75.72,64.27,87.18,"17,279","16,459","18,100"
CA,2020-08-31,"41,095","40,847","41,343",67.54,66.16,68.92,"60,845","60,488","61,202"
GA,2020-08-31,"13,053","12,473","13,633",76.04,65.21,86.87,"17,115","16,345","17,885"
CA,2020-09-01,"42,688","42,500","42,877",69.85,68.81,70.89,"61,112","60,844","61,380"
GA,2020-09-01,"13,717","13,175","14,259",78.73,68.59,88.88,"17,354","16,642","18,066"
CA,2020-09-02,"43,261","43,017","43,504",70.80,69.48,72.12,"61,106","60,773","61,440"
GA,2020-09-02,"14,010","13,625","14,394",79.75,72.70,86.80,"17,458","16,961","17,956"
CA,2020-09-03,"43,330","43,077","43,583",71.02,69.74,72.31,"61,007","60,711","61,303"
GA,2020-09-03,"14,063","13,880","14,245",81.94,78.83,85.04,"17,062","16,851","17,272"
CA,2020-09-04,"43,283","43,184","43,382",71.03,70.52,71.54,"60,938","60,817","61,059"
GA,2020-09-04,"13,824","13,592","14,055",80.61,76.63,84.58,"17,032","16,774","17,291"
CA,2020-09-05,"42,349","42,081","42,617",69.78,68.37,71.19,"60,689","60,351","61,026"
GA,2020-09-05,"13,161","12,952","13,370",76.97,73.39,80.55,"16,972","16,726","17,218"
CA,2020-09-06,"41,088","40,860","41,316",68.21,66.99,69.42,"60,240","59,949","60,531"
GA,2020-09-06,"12,743","12,587","12,900",74.73,72.29,77.17,"16,918","16,756","17,080"
CA,2020-09-07,"40,551","40,030","41,072",67.50,64.76,70.23,"60,080","59,443","60,716"
GA,2020-09-07,"12,667","12,507","12,826",73.57,70.72,76.42,"16,992","16,811","17,174"
CA,2020-09-08,"41,091","40,832","41,351",68.28,66.68,69.87,"60,184","59,745","60,622"
GA,2020-09-08,"12,756","12,710","12,802",74.23,73.45,75.01,"16,961","16,913","17,009"
CA,2020-09-09,"43,080","42,589","43,571",70.76,67.73,73.78,"60,886","60,038","61,734"
GA,2020-09-09,"13,708","13,576","13,839",79.53,77.13,81.93,"17,023","16,864","17,182"
CA,2020-09-10,"43,764","43,388","44,139",71.85,69.92,73.77,"60,913","60,458","61,368"
GA,2020-09-10,"13,814","13,668","13,961",80.69,77.99,83.39,"16,907","16,729","17,085"
CA,2020-09-11,"43,717","43,360","44,074",71.59,69.84,73.34,"61,063","60,676","61,450"
GA,2020-09-11,"13,831","13,673","13,989",80.61,77.71,83.51,"16,934","16,743","17,125"
CA,2020-09-12,"42,548","42,428","42,669",70.15,69.43,70.86,"60,657","60,465","60,849"
GA,2020-09-12,"13,455","13,215","13,696",78.32,74.11,82.53,"16,962","16,686","17,238"
CA,2020-09-13,"40,999","40,860","41,137",67.91,67.12,68.70,"60,376","60,170","60,581"
GA,2020-09-13,"13,187","12,957","13,416",77.96,73.89,82.03,"16,697","16,434","16,959"
CA,2020-09-14,"40,848","40,409","41,288",67.75,64.98,70.52,"60,292","59,512","61,072"
GA,2020-09-14,"13,164","12,975","13,353",76.73,73.36,80.11,"16,936","16,722","17,150"
CA,2020-09-15,"42,604","42,369","42,840",69.96,68.76,71.17,"60,896","60,615","61,178"
GA,2020-09-15,"13,380","13,257","13,503",77.64,75.47,79.81,"17,007","16,870","17,144"
CA,2020-09-16,"43,027","42,829","43,226",70.59,69.50,71.68,"60,955","60,655","61,254"
GA,2020-09-16,"13,585","13,409","13,761",78.98,75.88,82.08,"16,966","16,765","17,168"
CA,2020-09-17,"43,250","42,887","43,612",71.00,69.06,72.94,"60,917","60,421","61,413"
GA,2020-09-17,"13,598","13,299","13,898",79.05,73.70,84.40,"16,998","16,651","17,346"
CA,2020-09-18,"43,138","42,718","43,559",71.22,68.92,73.51,"60,572","59,985","61,159"
GA,2020-09-18,"13,430","13,092","13,768",78.64,72.56,84.72,"16,887","16,495","17,279"
CA,2020-09-19,"42,295","41,760","42,830",69.70,66.71,72.70,"60,678","59,898","61,458"
GA,2020-09-19,"12,874","12,497","13,252",76.21,69.81,82.61,"16,700","16,262","17,137"
CA,2020-09-20,"41,115","40,601","41,629",68.09,65.23,70.95,"60,380","59,644","61,116"
GA,2020-09-20,"12,623","12,076","13,170",74.44,64.54,84.35,"16,757","16,082","17,432"
AK,2020-08-20,961,955,967,45.86,45.86,45.86,"1,280","1,280","1,280"
DE,2020-08-20,"1,504","1,504","1,504",71.28,71.28,71.28,"2,110","2,110","2,110"
FL,2020-08-20,"43,624","43,571","43,677",56.65,56.30,57.01,"77,000","76,846","77,154"
AK,2020-08-21,939,934,944,44.84,37.98,51.71,"1,280","1,215","1,345"
DE,2020-08-21,"1,523","1,523","1,523",72.18,72.18,72.18,"2,110","2,110","2,110"
FL,2020-08-21,"43,140","43,065","43,216",55.92,55.45,56.39,"77,149","76,949","77,349"
AK,2020-08-22,861,860,862,41.78,41.78,41.78,"1,283","1,283","1,283"
DE,2020-08-22,"1,458","1,458","1,458",69.63,69.63,69.63,"2,094","2,094","2,094"
FL,2020-08-22,"41,728","41,323","42,134",54.42,52.49,56.34,"76,680","76,014","77,347"
AK,2020-08-23,823,823,823,39.44,39.44,39.44,"1,283","1,283","1,283"
DE,2020-08-23,"1,409","1,409","1,409",67.55,67.55,67.55,"2,086","2,086","2,086"
FL,2020-08-23,"40,732","40,610","40,855",52.60,52.05,53.14,"77,444","77,266","77,622"
AK,2020-08-24,852,848,857,39.51,38.35,40.67,"1,287","1,286","1,288"
DE,2020-08-24,"1,462","1,462","1,462",69.82,69.82,69.82,"2,094","2,094","2,094"
FL,2020-08-24,"41,174","40,996","41,352",52.65,51.93,53.37,"78,207","78,016","78,398"
AK,2020-08-25,886,885,888,41.57,41.57,41.57,"1,281","1,281","1,281"
DE,2020-08-25,"1,572","1,572","1,572",73.80,73.80,73.80,"2,130","2,130","2,130"
FL,2020-08-25,"42,815","42,727","42,903",55.35,54.53,56.17,"77,356","76,959","77,752"
AK,2020-08-26,936,932,941,44.69,43.00,46.38,"1,281","1,269","1,293"
DE,2020-08-26,"1,587","1,587","1,587",74.96,74.96,74.96,"2,117","2,117","2,117"
FL,2020-08-26,"42,908","42,828","42,989",55.85,55.42,56.29,"76,824","76,653","76,995"
AK,2020-08-27,919,919,919,43.77,43.77,43.77,"1,277","1,277","1,277"
DE,2020-08-27,"1,586","1,586","1,586",73.90,73.90,73.90,"2,146","2,146","2,146"
FL,2020-08-27,"43,070","43,027","43,112",56.05,55.83,56.27,"76,844","76,761","76,927"
AK,2020-08-28,919,914,924,42.42,40.58,44.26,"1,280","1,266","1,294"
DE,2020-08-28,"1,575","1,575","1,575",73.32,73.32,73.32,"2,148","2,148","2,148"
FL,2020-08-28,"42,370","42,321","42,418",55.34,55.16,55.52,"76,562","76,531","76,593"
AK,2020-08-29,861,855,867,41.41,39.43,43.39,"1,280","1,265","1,295"
DE,2020-08-29,"1,440","1,440","1,440",66.67,66.67,66.67,"2,160","2,160","2,160"
FL,2020-08-29,"41,282","41,277","41,288",53.30,53.21,53.39,"77,453","77,404","77,502"
AK,2020-08-30,820,814,825,39.72,37.94,41.51,"1,270","1,258","1,282"
DE,2020-08-30,"1,395","1,395","1,395",64.94,64.94,64.94,"2,148","2,148","2,148"
FL,2020-08-30,"40,042","39,100","40,985",52.04,47.05,57.03,"76,944","74,996","78,891"
AK,2020-08-31,870,870,870,41.06,41.06,41.06,"1,281","1,281","1,281"
DE,2020-08-31,"1,391","1,391","1,391",65.09,65.09,65.09,"2,137","2,137","2,137"
FL,2020-08-31,"40,498","40,497","40,499",52.07,51.98,52.15,"77,782","77,735","77,829"
AK,2020-09-01,913,913,913,42.70,42.70,42.70,"1,281","1,281","1,281"
DE,2020-09-01,"1,485","1,485","1,485",69.33,69.33,69.33,"2,142","2,142","2,142"
FL,2020-09-01,"42,042","41,932","42,153",54.72,54.27,55.16,"76,838","76,730","76,946"
AK,2020-09-02,913,913,913,42.62,42.62,42.62,"1,281","1,281","1,281"
DE,2020-09-02,"1,528","1,528","1,528",71.20,71.20,71.20,"2,146","2,146","2,146"
FL,2020-09-02,"42,617","42,566","42,668",54.73,54.34,55.12,"77,867","77,684","78,050"
AK,2020-09-03,930,928,931,45.91,45.10,46.72,"1,210","1,203","1,217"
DE,2020-09-03,"1,565","1,565","1,565",72.79,72.79,72.79,"2,150","2,150","2,150"
FL,2020-09-03,"42,667","42,600","42,735",54.87,54.26,55.48,"77,757","77,461","78,053"
AK,2020-09-04,908,903,912,44.42,41.66,47.18,"1,210","1,187","1,233"
DE,2020-09-04,"1,540","1,540","1,540",71.30,71.30,71.30,"2,160","2,160","2,160"
FL,2020-09-04,"42,122","41,973","42,271",53.97,53.19,54.76,"78,040","77,726","78,355"
AK,2020-09-05,835,835,835,42.50,42.50,42.50,"1,200","1,178","1,222"
DE,2020-09-05,"1,497","1,497","1,497",70.15,70.15,70.15,"2,134","2,134","2,134"
FL,2020-09-05,"40,676","40,541","40,811",52.48,51.90,53.06,"77,511","77,339","77,683"
AK,2020-09-06,827,827,827,41.88,41.88,41.88,"1,201","1,177","1,225"
DE,2020-09-06,"1,436","1,436","1,436",67.61,67.61,67.61,"2,124","2,124","2,124"
FL,2020-09-06,"39,618","39,576","39,659",50.91,50.64,51.17,"77,825","77,707","77,943"
AK,2020-09-07,830,829,830,42.42,39.71,45.14,"1,201","1,176","1,226"
DE,2020-09-07,"1,435","1,435","1,435",67.34,67.34,67.34,"2,131","2,131","2,131"
FL,2020-09-07,"39,334","38,898","39,769",50.24,48.31,52.16,"78,298","77,677","78,918"
AK,2020-09-08,868,863,872,41.82,38.48,45.17,"1,211","1,182","1,240"
DE,2020-09-08,"1,455","1,455","1,455",69.15,69.15,69.15,"2,104","2,104","2,104"
FL,2020-09-08,"39,954","39,706","40,202",51.03,49.86,52.21,"78,294","77,872","78,716"
AK,2020-09-09,936,936,936,46.41,46.41,46.41,"1,211","1,184","1,238"
DE,2020-09-09,"1,569","1,569","1,569",72.71,72.71,72.71,"2,158","2,158","2,158"
FL,2020-09-09,"41,932","41,799","42,064",54.08,53.39,54.77,"77,534","77,263","77,805"
AK,2020-09-10,963,963,963,48.14,48.14,48.14,"1,211","1,184","1,238"
DE,2020-09-10,"1,604","1,604","1,604",74.43,74.43,74.43,"2,155","2,155","2,155"
FL,2020-09-10,"42,701","42,607","42,795",55.00,54.07,55.93,"77,639","77,184","78,094"
AK,2020-09-11,960,955,965,47.80,45.94,49.67,"1,176","1,145","1,207"
DE,2020-09-11,"1,608","1,608","1,608",74.38,74.38,74.38,"2,162","2,162","2,162"
FL,2020-09-11,"42,686","42,619","42,754",54.87,54.02,55.73,"77,794","77,362","78,226"
AK,2020-09-12,935,931,940,49.94,48.06,51.82,"1,166","1,134","1,198"
DE,2020-09-12,"1,511","1,511","1,511",69.95,69.95,69.95,"2,160","2,160","2,160"
FL,2020-09-12,"41,312","40,959","41,665",52.76,51.10,54.41,"78,308","77,721","78,895"
AK,2020-09-13,916,916,916,47.86,47.86,47.86,"1,166","1,136","1,196"
DE,2020-09-13,"1,440","1,440","1,440",67.26,67.26,67.26,"2,141","2,141","2,141"
FL,2020-09-13,"40,479","40,382","40,576",51.66,51.17,52.14,"78,362","78,176","78,547"
AK,2020-09-14,912,912,913,45.50,45.50,45.50,"1,144","1,114","1,174"
DE,2020-09-14,"1,468","1,468","1,468",69.31,69.31,69.31,"2,118","2,118","2,118"
FL,2020-09-14,"41,014","40,933","41,094",52.41,51.73,53.10,"78,253","77,917","78,589"
AK,2020-09-15,960,950,971,47.86,44.32,51.39,"1,144","1,108","1,180"
DE,2020-09-15,"1,544","1,544","1,544",71.91,71.91,71.91,"2,147","2,147","2,147"
FL,2020-09-15,"41,272","41,118","41,427",55.91,55.24,56.57,"73,822","73,647","73,998"
AK,2020-09-16,998,998,998,51.53,51.53,51.53,"1,143","1,113","1,173"
DE,2020-09-16,"1,574","1,574","1,574",73.01,73.01,73.01,"2,156","2,156","2,156"
FL,2020-09-16,"41,243","41,066","41,419",55.96,54.22,57.70,"73,695","72,898","74,492"
AK,2020-09-17,"1,020","1,020","1,020",50.92,50.92,50.92,"1,143","1,113","1,173"
DE,2020-09-17,"1,591","1,591","1,591",74.52,74.52,74.52,"2,135","2,135","2,135"
FL,2020-09-17,"41,809","41,648","41,970",56.64,56.64,56.64,"73,818","73,818","73,818"
AK,2020-09-18,"1,008","1,008","1,008",51.28,51.28,51.28,"1,133","1,103","1,163"
DE,2020-09-18,"1,565","1,565","1,565",72.52,72.52,72.52,"2,158","2,158","2,158"
FL,2020-09-18,"41,542","41,266","41,817",55.57,54.22,56.93,"74,751","74,288","75,214"
AK,2020-09-19,984,974,994,56.02,48.86,63.17,"1,064","1,007","1,121"
DE,2020-09-19,"1,504","1,453","1,555",69.76,61.82,77.70,"2,156","2,084","2,228"
FL,2020-09-19,"40,184","40,008","40,360",53.76,53.76,53.76,"74,748","74,748","74,748"
AK,2020-09-20,965,953,977,53.62,45.27,61.97,"1,063",999,"1,127"
DE,2020-09-20,"1,426","1,278","1,574",66.42,44.47,88.37,"2,147","1,962","2,332"
FL,2020-09-20,"39,278","39,087","39,469",52.48,51.61,53.34,"74,849","74,592","75,106"
IL,2020-08-20,"18,874","18,662","19,086",64.99,63.59,66.40,"28,210","28,029","28,391"
IL,2020-08-21,"18,692","18,513","18,870",64.32,63.58,65.06,"28,197","28,094","28,300"
IL,2020-08-22,"17,952","17,663","18,240",61.86,58.90,64.82,"28,133","27,765","28,501"
IL,2020-08-23,"17,317","17,018","17,616",59.67,56.52,62.82,"28,097","27,706","28,488"
IL,2020-08-24,"17,498","17,334","17,663",60.10,59.17,61.04,"28,175","28,129","28,221"
IL,2020-08-25,"18,802","18,785","18,819",64.14,63.88,64.39,"28,409","28,368","28,451"
IL,2020-08-26,"18,983","18,845","19,120",64.88,64.22,65.54,"28,386","28,292","28,480"
IL,2020-08-27,"18,785","18,606","18,965",64.21,63.15,65.26,"28,391","28,245","28,537"
IL,2020-08-28,"18,701","18,538","18,864",63.94,63.04,64.85,"28,384","28,265","28,503"
IL,2020-08-29,"17,932","17,723","18,142",61.50,58.99,64.01,"28,261","27,946","28,577"
IL,2020-08-30,"17,208","16,966","17,450",59.01,56.62,61.40,"28,216","27,928","28,505"
IL,2020-08-31,"17,353","17,301","17,405",59.29,57.98,60.61,"28,276","28,051","28,501"
IL,2020-09-01,"18,378","18,138","18,618",62.64,60.42,64.87,"28,392","28,155","28,630"
IL,2020-09-02,"18,826","18,651","19,000",64.42,63.60,65.25,"28,316","28,206","28,426"
IL,2020-09-03,"18,710","18,571","18,849",64.06,63.55,64.58,"28,299","28,248","28,351"
IL,2020-09-04,"18,487","18,421","18,553",63.30,62.31,64.28,"28,305","28,165","28,445"
IL,2020-09-05,"17,708","17,511","17,905",60.67,58.91,62.42,"28,257","28,033","28,482"
IL,2020-09-06,"16,819","16,599","17,039",57.60,55.80,59.39,"28,225","28,003","28,447"
IL,2020-09-07,"16,632","16,418","16,846",56.88,55.32,58.43,"28,256","28,057","28,454"
IL,2020-09-08,"16,917","16,740","17,094",57.79,57.03,58.54,"28,269","28,156","28,383"
IL,2020-09-09,"18,182","17,885","18,480",61.98,59.14,64.81,"28,377","28,044","28,710"
IL,2020-09-10,"18,594","18,429","18,760",63.39,62.47,64.31,"28,391","28,259","28,523"
IL,2020-09-11,"18,505","18,229","18,781",63.17,60.31,66.03,"28,345","28,009","28,681"
IL,2020-09-12,"17,824","17,672","17,977",60.99,59.06,62.92,"28,242","27,999","28,486"
IL,2020-09-13,"17,133","16,953","17,314",58.54,56.91,60.17,"28,253","28,040","28,465"
IL,2020-09-14,"17,294","17,100","17,489",59.07,58.15,60.00,"28,290","28,178","28,402"
IL,2020-09-15,"18,296","18,106","18,486",62.70,61.11,64.28,"28,278","28,036","28,520"
IL,2020-09-16,"18,691","18,545","18,837",64.00,63.52,64.48,"28,318","28,232","28,404"
IL,2020-09-17,"18,822","18,510","19,134",64.57,60.70,68.43,"28,302","27,810","28,794"
IL,2020-09-18,"18,698","18,535","18,860",64.20,63.35,65.05,"28,287","28,148","28,426"
IL,2020-09-19,"17,924","17,510","18,337",61.52,57.31,65.72,"28,258","27,815","28,701"
IL,2020-09-20,"17,188","16,714","17,662",58.67,53.79,63.55,"28,367","27,859","28,875"
AZ,2020-08-20,"8,628","8,519","8,737",64.35,63.97,64.73,"10,840","10,699","10,981"
CO,2020-08-20,"5,050","4,688","5,412",62.44,61.37,63.50,"8,048","7,448","8,648"
IA,2020-08-20,"5,166","5,163","5,169",63.32,63.32,63.32,"8,159","8,159","8,159"
KY,2020-08-20,"7,952","7,822","8,082",66.24,62.72,69.76,"12,005","11,829","12,181"
MA,2020-08-20,"11,492","11,457","11,527",71.64,70.94,72.34,"16,042","15,997","16,087"
MN,2020-08-20,"7,919","7,774","8,064",69.17,66.10,72.24,"11,448","11,420","11,476"
AZ,2020-08-21,"8,628","8,529","8,727",64.47,63.80,65.14,"10,849","10,706","10,992"
CO,2020-08-21,"5,002","4,573","5,431",61.83,52.13,71.54,"8,050","7,368","8,731"
IA,2020-08-21,"5,060","5,057","5,062",62.19,62.19,62.19,"8,136","8,136","8,136"
KY,2020-08-21,"7,850","7,796","7,904",65.39,64.28,66.51,"12,004","11,956","12,052"
MA,2020-08-21,"11,318","11,318","11,318",70.17,70.17,70.17,"16,129","16,129","16,129"
MN,2020-08-21,"7,900","7,892","7,909",68.96,68.47,69.44,"11,457","11,426","11,488"
AZ,2020-08-22,"8,282","8,084","8,480",62.79,57.28,68.30,"10,750","10,462","11,039"
CO,2020-08-22,"4,743","4,282","5,204",58.93,46.12,71.74,"8,010","7,299","8,720"
IA,2020-08-22,"4,860","4,852","4,868",59.73,59.37,60.10,"8,136","8,122","8,150"
KY,2020-08-22,"7,760","7,664","7,857",64.73,61.84,67.62,"11,989","11,827","12,151"
MA,2020-08-22,"11,024","11,007","11,041",68.47,68.14,68.80,"16,100","16,080","16,120"
MN,2020-08-22,"7,540","7,505","7,575",65.87,64.59,67.15,"11,447","11,374","11,520"
AZ,2020-08-23,"8,013","7,816","8,210",61.47,55.98,66.96,"10,674","10,389","10,959"
CO,2020-08-23,"4,652","4,222","5,083",57.75,46.46,69.04,"8,019","7,351","8,686"
IA,2020-08-23,"4,700","4,700","4,700",57.75,57.75,57.75,"8,139","8,139","8,139"
KY,2020-08-23,"7,548","7,487","7,608",62.93,60.88,64.99,"11,993","11,862","12,124"
