state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
DC,2020-09-20,"2,362","2,362","2,362",84.48,84.48,84.48,"2,796","2,796","2,796"
AL,2020-08-20,"10,464","10,445","10,483",74.07,73.61,74.52,"14,128","14,101","14,155"
AR,2020-08-20,"5,116","5,084","5,148",67.81,66.80,68.82,"7,521","7,466","7,576"
CT,2020-08-20,"6,005","6,005","6,005",74.32,74.32,74.32,"8,080","8,080","8,080"
ID,2020-08-20,"1,763","1,738","1,788",50.09,49.13,51.04,"3,520","3,453","3,587"
IN,2020-08-20,"9,942","9,695","10,189",61.61,57.95,65.27,"16,137","15,839","16,435"
KS,2020-08-20,"4,167","4,111","4,223",55.81,53.51,58.12,"7,400","7,275","7,525"
LA,2020-08-20,"9,463","9,450","9,476",68.18,67.77,68.60,"13,455","13,427","13,483"
MD,2020-08-20,"7,925","7,781","8,069",78.85,75.05,82.66,"9,959","9,817","10,101"
MI,2020-08-20,"16,634","16,498","16,770",73.77,71.68,75.85,"22,549","22,339","22,759"
AL,2020-08-21,"10,135","10,121","10,149",72.03,71.72,72.34,"14,071","14,054","14,088"
AR,2020-08-21,"5,063","5,030","5,097",67.57,66.45,68.69,"7,470","7,412","7,528"
CT,2020-08-21,"5,960","5,895","6,025",73.83,71.41,76.25,"8,073","8,001","8,145"
ID,2020-08-21,"1,732","1,707","1,757",49.11,48.51,49.71,"3,527","3,462","3,592"
IN,2020-08-21,"9,771","9,568","9,974",60.63,58.12,63.14,"16,116","15,858","16,374"
KS,2020-08-21,"4,074","4,021","4,128",54.56,52.43,56.70,"7,402","7,281","7,522"
LA,2020-08-21,"9,326","9,315","9,337",67.31,66.95,67.67,"13,425","13,400","13,450"
MD,2020-08-21,"7,903","7,893","7,913",78.88,78.40,79.36,"9,928","9,840","10,016"
MI,2020-08-21,"16,604","16,475","16,733",73.39,71.41,75.37,"22,624","22,423","22,825"
AL,2020-08-22,"9,615","9,588","9,642",68.45,67.82,69.08,"14,046","14,010","14,082"
AR,2020-08-22,"4,798","4,606","4,990",64.15,57.41,70.90,"7,454","7,342","7,567"
CT,2020-08-22,"5,746","5,621","5,871",71.18,66.57,75.80,"8,072","7,939","8,205"
ID,2020-08-22,"1,652","1,626","1,678",46.92,46.04,47.79,"3,522","3,462","3,582"
IN,2020-08-22,"9,403","9,196","9,611",58.51,55.71,61.32,"16,070","15,810","16,330"
KS,2020-08-22,"3,953","3,621","4,284",52.94,37.69,68.18,"7,396","6,927","7,865"
LA,2020-08-22,"8,862","8,857","8,866",63.84,63.66,64.02,"13,498","13,484","13,512"
MD,2020-08-22,"7,690","7,148","8,233",77.05,59.74,94.37,"9,891","9,211","10,571"
MI,2020-08-22,"16,239","15,942","16,536",71.83,67.45,76.22,"22,607","22,190","23,024"
AL,2020-08-23,"9,545","9,516","9,573",67.93,67.28,68.59,"14,050","14,012","14,087"
AR,2020-08-23,"4,613","4,381","4,845",62.28,52.82,71.73,"7,381","7,135","7,627"
CT,2020-08-23,"5,612","5,487","5,737",69.54,64.92,74.16,"8,070","7,937","8,203"
ID,2020-08-23,"1,587","1,561","1,613",45.32,45.32,45.32,"3,501","3,442","3,560"
IN,2020-08-23,"9,058","8,859","9,258",56.82,54.08,59.57,"15,941","15,686","16,196"
KS,2020-08-23,"3,861","3,529","4,193",51.83,36.49,67.17,"7,376","6,907","7,845"
LA,2020-08-23,"8,649","8,638","8,659",62.53,62.29,62.78,"13,471","13,458","13,484"
MD,2020-08-23,"7,405","6,862","7,947",74.95,57.47,92.42,"9,880","9,194","10,566"
MI,2020-08-23,"15,811","15,672","15,949",69.98,67.93,72.03,"22,593","22,392","22,795"
AL,2020-08-24,"9,560","9,542","9,578",67.73,67.12,68.34,"14,115","14,070","14,161"
AR,2020-08-24,"4,665","4,635","4,695",62.24,61.48,63.00,"7,470","7,421","7,518"
CT,2020-08-24,"5,595","5,595","5,595",69.33,69.33,69.33,"8,070","8,070","8,070"
ID,2020-08-24,"1,549","1,526","1,573",44.36,43.57,45.14,"3,493","3,433","3,553"
IN,2020-08-24,"9,374","9,202","9,546",57.78,54.32,61.25,"16,223","16,003","16,443"
KS,2020-08-24,"3,941","3,904","3,978",51.73,49.73,53.74,"7,545","7,457","7,633"
LA,2020-08-24,"8,705","8,615","8,796",63.36,61.21,65.50,"13,386","13,277","13,496"
MD,2020-08-24,"7,558","7,400","7,715",76.17,71.20,81.13,"9,922","9,731","10,114"
MI,2020-08-24,"16,166","16,098","16,234",71.60,70.71,72.49,"22,577","22,489","22,666"
AL,2020-08-25,"10,042","10,022","10,061",71.06,70.50,71.62,"14,131","14,093","14,169"
AR,2020-08-25,"4,977","4,891","5,064",65.75,63.00,68.51,"7,542","7,496","7,589"
CT,2020-08-25,"5,875","5,875","5,875",72.83,72.83,72.83,"8,067","8,067","8,067"
ID,2020-08-25,"1,684","1,661","1,707",47.63,45.51,49.76,"3,535","3,475","3,595"
IN,2020-08-25,"9,973","9,834","10,112",61.47,58.63,64.32,"16,224","16,036","16,412"
KS,2020-08-25,"4,165","3,976","4,354",54.68,46.01,63.35,"7,549","7,270","7,828"
LA,2020-08-25,"8,950","8,932","8,968",64.46,64.00,64.91,"13,488","13,462","13,514"
MD,2020-08-25,"7,862","7,755","7,970",79.00,75.32,82.68,"9,952","9,797","10,108"
MI,2020-08-25,"16,835","16,760","16,910",73.89,72.83,74.95,"22,784","22,682","22,887"
